INVOICEID,ITEM,PRODUCTID,QUANTITY,COST
36,19,16,9,28.50
43,20,35,17,35.40
22,13,10,5,24.60
30,5,0,14,5.40
36,10,2,12,18.60
40,7,33,5,21.00
48,0,3,3,19.50
0,1,13,13,38.40
2,11,31,18,15.60
6,4,15,14,21.90
48,13,8,21,19.80
3,16,6,2,22.50
34,9,47,14,7.50
42,9,2,24,18.60
28,16,18,22,3.30
46,0,34,24,24.90
11,9,39,23,10.20
46,4,16,3,28.50
12,0,25,20,31.50
16,3,22,12,9.00
32,7,46,14,9.60
24,15,43,7,32.70
31,2,16,15,28.50
29,6,31,1,15.60
49,12,48,16,9.90
36,12,28,14,34.80
48,5,32,10,6.90
2,7,24,1,33.90
32,1,18,13,3.30
38,1,49,17,3.00
24,13,34,14,24.90
4,8,15,17,21.90
8,3,13,15,38.40
26,8,34,9,24.90
4,2,42,12,15.00
28,7,3,11,19.50
38,4,30,5,7.80
42,8,45,4,3.60
0,4,13,21,38.40
33,12,6,2,22.50
29,2,7,6,37.20
38,12,22,12,9.00
8,10,23,8,11.40
41,2,28,12,34.80
14,14,7,4,37.20
37,6,35,22,35.40
4,13,37,12,12.90
43,18,0,9,5.40
38,9,12,10,38.70
16,2,44,5,29.40
31,7,47,2,7.50
45,4,28,24,34.80
3,2,32,8,6.90
20,1,27,21,28.80
48,16,8,19,19.80
16,5,9,2,33.90
49,4,17,24,20.40
36,18,9,4,33.90
40,8,49,14,3.00
0,6,49,11,3.00
9,3,20,2,24.30
11,2,40,19,7.80
11,15,49,19,3.00
13,2,27,11,28.80
14,9,31,17,15.60
32,10,45,18,3.60
22,1,38,14,34.20
30,9,32,14,6.90
43,19,46,19,9.60
33,1,1,21,32.70
34,6,30,11,7.80
3,17,10,19,24.60
49,9,16,7,28.50
17,8,29,16,21.90
23,6,15,13,21.90
26,18,48,18,9.90
47,2,16,22,28.50
7,8,35,1,35.40
36,9,47,17,7.50
36,21,45,14,3.60
43,9,13,23,38.40
43,11,24,14,33.90
8,7,39,14,10.20
28,10,2,13,18.60
34,0,34,1,24.90
25,3,17,13,20.40
41,7,25,12,31.50
44,11,45,19,3.60
45,2,42,21,15.00
4,12,13,23,38.40
18,4,43,15,32.70
33,7,25,6,31.50
33,8,6,23,22.50
44,5,15,16,21.90
38,7,22,14,9.00
11,12,19,1,7.80
3,7,12,24,38.70
10,0,31,24,15.60
14,1,39,3,10.20
22,8,17,8,20.40
22,10,48,5,9.90
28,5,44,18,29.40
28,14,29,22,21.90
41,3,2,8,18.60
14,2,37,22,12.90
15,3,42,19,15.00
33,11,17,1,20.40
25,2,47,22,7.50
40,4,35,11,35.40
49,7,2,13,18.60
9,4,23,5,11.40
13,6,29,22,21.90
14,4,40,15,7.80
28,12,5,3,31.50
33,0,10,10,24.60
44,15,43,12,32.70
